spotify_id,song_name,artist,peak_position,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,id,track_href,type,uri,target
1lO9CZo6eDrOy0S7khgryG,No Regrets,Eminem Featuring Don Toliver,84,0.756,0.747,9,-5.407,1,0.046,0.0048,0.00536,0.588,0.0687,134.935,200947,4,https://api.spotify.com/v1/audio-analysis/1lO9CZo6eDrOy0S7khgryG,1lO9CZo6eDrOy0S7khgryG,https://api.spotify.com/v1/tracks/1lO9CZo6eDrOy0S7khgryG,audio_features,spotify:track:1lO9CZo6eDrOy0S7khgryG,51 to 100
1qwMkkRiD5jqLeUUjfgblh,Lock It Up,Eminem Featuring Anderson .Paak,89,0.848,0.745,6,-3.052,0,0.221,0.0949,0,0.0796,0.516,137.024,170227,4,https://api.spotify.com/v1/audio-analysis/1qwMkkRiD5jqLeUUjfgblh,1qwMkkRiD5jqLeUUjfgblh,https://api.spotify.com/v1/tracks/1qwMkkRiD5jqLeUUjfgblh,audio_features,spotify:track:1qwMkkRiD5jqLeUUjfgblh,51 to 100
1kwnxJNVl7cwcU98RvMBaR,Surf,Mac Miller,91,0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,330507,4,https://api.spotify.com/v1/audio-analysis/1kwnxJNVl7cwcU98RvMBaR,1kwnxJNVl7cwcU98RvMBaR,https://api.spotify.com/v1/tracks/1kwnxJNVl7cwcU98RvMBaR,audio_features,spotify:track:1kwnxJNVl7cwcU98RvMBaR,51 to 100
3QVHSV8YKYq4L8tI5rnFgj,Stepdad,Eminem,93,0.779,0.805,1,-3.121,1,0.178,0.018,0,0.321,0.557,145.68,213413,4,https://api.spotify.com/v1/audio-analysis/3QVHSV8YKYq4L8tI5rnFgj,3QVHSV8YKYq4L8tI5rnFgj,https://api.spotify.com/v1/tracks/3QVHSV8YKYq4L8tI5rnFgj,audio_features,spotify:track:3QVHSV8YKYq4L8tI5rnFgj,51 to 100
7CZyCXKG6d5ALeq41sLzbw,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,0.499,0.8,1,-2.665,0,0.0502,0.0906,0,0.147,0.272,139.919,229573,4,https://api.spotify.com/v1/audio-analysis/7CZyCXKG6d5ALeq41sLzbw,7CZyCXKG6d5ALeq41sLzbw,https://api.spotify.com/v1/tracks/7CZyCXKG6d5ALeq41sLzbw,audio_features,spotify:track:7CZyCXKG6d5ALeq41sLzbw,6 to 10
4CMrdHWqic0usIZfTrKoI3,Easy,DaniLeigh Featuring Chris Brown,79,0.799,0.301,7,-11.361,1,0.185,0.195,0,0.0816,0.511,100.026,186587,4,https://api.spotify.com/v1/audio-analysis/4CMrdHWqic0usIZfTrKoI3,4CMrdHWqic0usIZfTrKoI3,https://api.spotify.com/v1/tracks/4CMrdHWqic0usIZfTrKoI3,audio_features,spotify:track:4CMrdHWqic0usIZfTrKoI3,51 to 100
0udOCZp7yk0Ml92C0k8H8D,That's On Me,Mac Miller,100,0.583,0.499,10,-10.086,1,0.0261,0.591,0.0104,0.33,0.342,155.199,217868,3,https://api.spotify.com/v1/audio-analysis/0udOCZp7yk0Ml92C0k8H8D,0udOCZp7yk0Ml92C0k8H8D,https://api.spotify.com/v1/tracks/0udOCZp7yk0Ml92C0k8H8D,audio_features,spotify:track:0udOCZp7yk0Ml92C0k8H8D,51 to 100
249gnXrbfmV8NG6jTEMSwD,ON,BTS,4,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,207481,4,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,audio_features,spotify:track:249gnXrbfmV8NG6jTEMSwD,1 to 5
6KgBpzTuTRPebChN0VTyzV,Good As Hell,Lizzo,3,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4,https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV,6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV,audio_features,spotify:track:6KgBpzTuTRPebChN0VTyzV,1 to 5
1aMokXl3uKDvCh4BBcjFOA,Lil Top,YoungBoy Never Broke Again,28,0.708,0.654,5,-6.76,0,0.369,0.0556,0,0.208,0.697,168.032,185746,4,https://api.spotify.com/v1/audio-analysis/1aMokXl3uKDvCh4BBcjFOA,1aMokXl3uKDvCh4BBcjFOA,https://api.spotify.com/v1/tracks/1aMokXl3uKDvCh4BBcjFOA,audio_features,spotify:track:1aMokXl3uKDvCh4BBcjFOA,26 to 50
52lGuLAkIVbm4LZkSf9nj0,Kinfolks,Sam Hunt,34,0.569,0.807,0,-4.584,1,0.0464,0.0876,0,0.164,0.883,76.011,181933,4,https://api.spotify.com/v1/audio-analysis/52lGuLAkIVbm4LZkSf9nj0,52lGuLAkIVbm4LZkSf9nj0,https://api.spotify.com/v1/tracks/52lGuLAkIVbm4LZkSf9nj0,audio_features,spotify:track:52lGuLAkIVbm4LZkSf9nj0,26 to 50
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,Billie Eilish,1,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,1 to 5
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,1,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,1 to 5
0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,13,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,184060,4,https://api.spotify.com/v1/audio-analysis/0lsRatBUs9HNIZAmoGABzk,0lsRatBUs9HNIZAmoGABzk,https://api.spotify.com/v1/tracks/0lsRatBUs9HNIZAmoGABzk,audio_features,spotify:track:0lsRatBUs9HNIZAmoGABzk,11 to 25
7cA3PnUQDlUyBBwpRozQeo,One Man Band,Old Dominion,20,0.706,0.358,6,-8.331,1,0.0347,0.677,0,0.107,0.478,75.991,186240,4,https://api.spotify.com/v1/audio-analysis/7cA3PnUQDlUyBBwpRozQeo,7cA3PnUQDlUyBBwpRozQeo,https://api.spotify.com/v1/tracks/7cA3PnUQDlUyBBwpRozQeo,audio_features,spotify:track:7cA3PnUQDlUyBBwpRozQeo,11 to 25
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,1,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027,4,https://api.spotify.com/v1/audio-analysis/22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/tracks/22vgEDb5hykfaTwLuskFGD,audio_features,spotify:track:22vgEDb5hykfaTwLuskFGD,1 to 5
3qHgGyJY4GpXNOK4WL4NSo,Red Eye,YoungBoy Never Broke Again,47,0.485,0.814,9,-3.907,1,0.138,0.217,0,0.112,0.327,159.894,156077,4,https://api.spotify.com/v1/audio-analysis/3qHgGyJY4GpXNOK4WL4NSo,3qHgGyJY4GpXNOK4WL4NSo,https://api.spotify.com/v1/tracks/3qHgGyJY4GpXNOK4WL4NSo,audio_features,spotify:track:3qHgGyJY4GpXNOK4WL4NSo,26 to 50
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,18,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4,https://api.spotify.com/v1/audio-analysis/0DiDStADDVh3SvAsoJAFMk,0DiDStADDVh3SvAsoJAFMk,https://api.spotify.com/v1/tracks/0DiDStADDVh3SvAsoJAFMk,audio_features,spotify:track:0DiDStADDVh3SvAsoJAFMk,11 to 25
0AYbVoeF03NYhM0fvKjAuU,Make Me Want To,Jimmie Allen,49,0.519,0.872,2,-3.212,1,0.0616,0.0793,0,0.111,0.74,179.965,172280,4,https://api.spotify.com/v1/audio-analysis/0AYbVoeF03NYhM0fvKjAuU,0AYbVoeF03NYhM0fvKjAuU,https://api.spotify.com/v1/tracks/0AYbVoeF03NYhM0fvKjAuU,audio_features,spotify:track:0AYbVoeF03NYhM0fvKjAuU,26 to 50
