,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id
91,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,4xqrdfXkTW4T0RauPLv3WA
92,0.646,0.696,1,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,223415,4,0KS2h61pHQ4WmOwruD7uxD
93,0.567,0.726,6,-4.705,1,0.0309,0.216,0.0,0.12,0.319,141.92,190720,4,0jcZ1uIHmvh6Is9T6hXOUk
94,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413,4,4Hpib09wXgD84w4uwTPnYD
95,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4,5IUtvfNvOyVYZUa6AJFrnP
96,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,182857,4,7v96VvFLS0wSYT8kewNLRy
97,0.563,0.722,6,-3.972,1,0.0279,0.0345,0.0,0.0795,0.309,149.903,192587,4,0ifYeH4gNXEyba41xr3I1w
98,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4,5rZlwNFl01HqLWBQGryKSm
99,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4,017PF4Q3l4DBUiWoXk4OWT
100,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,194867,4,0nYvjcSlCgjcwogQAwIwNp
101,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,235988,4,0qJeyYAgv6UpvewUxRXAhb
102,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4,2Wo6QQD1KMDWeFkkjLqwx5
103,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4,1H7KnK26kc1YyellpbINEn
104,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4,0ofHAoxe9vBkTCp2UQIavz
105,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,3jjujdWJ72nww5eGnfs2E7
106,0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,178147,3,4TCc369aRPRubv1m8R1TBG
107,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4,33gwZOGJWEZ7dRWPqPxBEZ
108,0.819,0.738,1,-5.159,0,0.186,0.47,0.0,0.117,0.676,139.957,164650,4,1jWHtG4UXwH7JkEGY559Pa
109,0.837,0.482,8,-8.608,0,0.365,0.268,0.0,0.0991,0.444,143.01,169532,4,2h4cmbyb6S7e8igDZIITJU
110,0.681,0.726,7,-5.1,1,0.0453,0.162,0.0,0.119,0.819,84.98,176729,4,5TI10v8sy9VPp5YhVRVK1f
111,0.91,0.604,6,-4.392,0,0.082,0.448,0.0,0.0863,0.807,110.075,180788,4,7e1VoRlNumuEkXlITMHKLE
112,0.778,0.662,8,-6.081,0,0.308,0.187,0.0,0.116,0.571,149.935,192000,4,7IECs9d4Rrlpa7tiHOCE1w
113,0.774,0.376,5,-9.372,1,0.208,0.297,0.0,0.165,0.391,122.089,201587,4,4lsHZ92XCFOQfzJFBTluk8
114,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,197760,4,3nS9a01VvXHQriLqJYwRqG
115,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254,4,3kwgqoBqTwoAH4nT29TYrq
116,0.499,0.619,2,-7.054,1,0.0339,0.571,4.82e-06,0.148,0.514,86.185,212147,4,2oWuBmQtYMx3LEgahIsJvs
117,0.879,0.499,4,-6.027,0,0.18,0.24,0.0,0.0967,0.405,106.043,163173,4,4EivmOT13NMpNSfTKn9p4s
118,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4,6wJYhPfqk3KGhHRG76WzOh
119,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4,5v4GgrXPMghOnBBLmveLac
120,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,4,3Dv1eDb0MEgF93GpLXlucZ
121,0.596,0.522,9,-6.633,1,0.0358,0.373,0.0,0.291,0.443,76.042,188320,4,3DA4SE262k6rdEtlHteNyq
122,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4,5MwynWK9s4hlyKHqhkNn4A
123,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4,5yY9lUy8nbvjM1Uyo1Uqoc
124,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4,2kJwzbxV2ppxnQoYw4GLBZ
125,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,164668,4,5P3oaNpPDVLRJsL3152SEs
126,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,4,3JKgcAa7r07ocVWcV8bS0H
127,0.863,0.235,1,-15.545,1,0.699,0.0241,0.0,0.123,0.399,150.062,144048,4,6tLWt7gkvvTSjS6OfJjiyJ
128,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,4pvb0WLRcMtbPGmtejJJ6y
129,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4,25zlnOAzbVoOzIeXSvQFf1
